event_date,end_date,duration_days,exit_reason,stitched_trigger_count,first_trigger_date,last_trigger_date,episode_bridge_days,stability_days_required,market_return,worst_trigger_date,worst_trigger_market_return,apc,peak_apc_date,peak_trigger_apc,apc_threshold,apc_window,apc_n_names,frac_down,frac_down_threshold,coverage,coverage_floor,vol_percentile,event_severity
2002-12-27,2003-01-09,8,apc_and_market_normalized,1,2002-12-27,2002-12-27,28,5,-0.006524037183834685,2002-12-27,-0.006524037183834685,0.121755205187099,2002-12-27,0.121755205187099,0.12037303468810838,102,122,0.5751633986928104,0.4,2448,179.0,0.26789545543202653,0.9053389326168717
2003-03-04,2003-03-20,12,apc_and_market_normalized,2,2003-03-04,2003-03-10,24,7,-0.009787552037348445,2003-03-10,-0.013100718739456832,0.11194558586950853,2003-03-04,0.11194558586950853,0.11092093658501424,114,122,0.555465258025193,0.3870967741935484,2461,181.0,0.13691979025053408,0.9472127520891102
2004-07-01,2004-07-20,12,apc_and_market_normalized,1,2004-07-01,2004-07-01,29,4,-0.009391214360743309,2004-07-01,-0.009391214360743309,0.13075566860346202,2004-07-01,0.13075566860346202,0.1288589567111232,90,122,0.5697761194029851,0.4123418699111794,2680,178.0,0.39114078811248004,0.9238665846923854
2006-07-20,2006-07-26,4,apc_and_market_normalized,1,2006-07-20,2006-07-20,23,1,-0.012329587682466829,2006-07-20,-0.012329587682466829,0.2056397473708979,2006-07-20,0.2056397473708979,0.19344453007591056,41,123,0.62357669122572,0.4829444188025484,2986,31.0,0.9358744394618834,0.9501887613393488
2006-10-02,2006-12-06,46,apc_and_market_normalized,4,2006-10-02,2006-11-27,26,7,-0.0065913190811937574,2006-11-27,-0.010602184083703305,0.12585185413938269,2006-10-27,0.1449614464946575,0.11120657301634616,108,124,0.5207572235137828,0.3958354477816696,3011,185.0,0.19301848049281314,0.9527726425298599
2007-06-06,2007-06-18,8,apc_and_market_normalized,1,2007-06-06,2007-06-06,30,4,-0.0067366602494326674,2007-06-06,-0.0067366602494326674,0.14301108575460286,2007-06-06,0.14301108575460286,0.13252097183097117,85,125,0.6486994672516453,0.41935483870967744,3191,179.0,0.4460861917326297,0.9277448704474011
2007-10-15,2007-10-24,7,apc_and_market_normalized,1,2007-10-15,2007-10-15,30,3,-0.007884968322616145,2007-10-15,-0.007884968322616145,0.1485827634298238,2007-10-15,0.1485827634298238,0.1424566734233707,75,122,0.6134401972872996,0.43333333333333335,3244,178.0,0.5568449524474304,0.9278835203226294
2008-01-15,2008-01-24,6,apc_and_market_normalized,1,2008-01-15,2008-01-15,29,2,-0.01635431074641943,2008-01-15,-0.01635431074641943,0.1604537286045407,2008-01-15,0.1604537286045407,0.16021968202623948,60,123,0.6714026602176542,0.4532757349404452,3308,145.0,0.7298681013536966,0.9590701931375151
2008-05-07,2011-02-08,695,apc_and_market_normalized,153,2008-05-07,2011-01-28,30,7,-0.010447261166487715,2008-12-01,-0.07753812246879518,0.1417933055530685,2008-10-15,0.2948097628109243,0.12111520311299254,99,124,0.6275327771156138,0.40706645785852497,3356,184.0,0.3012411653163248,0.9868913179739636
2011-08-04,2012-10-18,305,apc_and_market_normalized,53,2011-08-04,2012-10-09,30,7,-0.04021264103850699,2011-08-08,-0.06958253231313424,0.1924608672074432,2011-08-25,0.3502985003931537,0.17790819805483546,51,123,0.7630272952853598,0.4708180293949673,4030,175.0,0.8189210950080515,0.9873696738428278
2015-12-07,2015-12-18,9,apc_and_market_normalized,1,2015-12-07,2015-12-07,30,4,-0.01427800952738391,2015-12-07,-0.01427800952738391,0.15699061474867418,2015-12-07,0.15699061474867418,0.13675689362737647,86,122,0.5990243902439024,0.4254682759503297,5125,188.0,0.43946121965660156,0.9307718491053966
2016-05-03,2016-07-07,45,apc_and_market_normalized,6,2016-05-03,2016-06-13,26,7,-0.009827146021874265,2016-06-10,-0.010354691169769243,0.12292120413570948,2016-05-04,0.1402300640908012,0.11347832049886925,116,124,0.5783179012345679,0.3927048593865525,5184,207.0,0.11173143318886358,0.9173094042747097
2016-08-24,2016-09-02,7,apc_and_market_normalized,1,2016-08-24,2016-08-24,22,7,-0.0057762289391551855,2016-08-24,-0.0057762289391551855,0.11278541302156872,2016-08-24,0.11278541302156872,0.11171539911222059,119,124,0.5321013526385978,0.3891559843178013,5249,474.0,0.0820186970493719,0.8561688063877374
2016-10-11,2016-11-11,23,apc_and_market_normalized,4,2016-10-11,2016-11-02,29,6,-0.010700594231535278,2016-10-11,-0.010700594231535278,0.13720916593511867,2016-10-11,0.13720916593511867,0.1271243139394482,97,121,0.6478260869565218,0.4142463705373683,5290,192.0,0.3202914389799636,0.9289129855978892
2019-03-22,2019-05-21,41,apc_and_market_normalized,2,2019-03-22,2019-05-13,24,7,-0.016387497183100497,2019-05-13,-0.018604335129519336,0.11629053421107287,2019-03-22,0.11629053421107287,0.10935048383116401,120,125,0.644927536231884,0.3878493480014462,6072,504.0,0.0667410558616361,0.9449422617879465
2020-03-09,2021-01-08,212,apc_and_market_normalized,43,2020-03-09,2020-12-09,30,7,-0.08149501355444368,2020-03-18,-0.1071370562629328,0.22899325498398201,2020-03-18,0.4055933221065708,0.207705339914058,36,120,0.8098264104153751,0.5,6452,177.0,0.9936904190384748,0.9961904994750547
2021-07-07,2021-08-30,38,apc_and_market_normalized,2,2021-07-07,2021-07-08,21,7,-0.009217833217190129,2021-07-07,-0.009217833217190129,0.1118877926243309,2021-07-08,0.11421646295798148,0.10851471784732962,122,124,0.5252458145096998,0.38727834927507054,7526,538.0,0.048605524269241085,0.9026269809218855
2022-08-09,2022-11-18,72,apc_and_market_normalized,8,2022-08-09,2022-11-16,29,5,-0.01546501818095601,2022-09-13,-0.02444240126234719,0.13365468339888573,2022-11-16,0.18211246442423348,0.1207851662131779,102,124,0.5516786570743405,0.4101184411937027,8340,489.0,0.26147060759660323,0.958253513916179
2023-02-06,2023-03-03,18,apc_and_market_normalized,2,2023-02-06,2023-02-08,27,5,-0.007870218600548666,2023-02-08,-0.008011893023974544,0.13951711282402612,2023-02-06,0.13951711282402612,0.12118807856759232,102,122,0.5831469930563729,0.4111775978780226,8497,494.0,0.26398955272608554,0.8994159408308094
