event_date,end_date,duration_days,exit_reason,stitched_trigger_count,market_return,worst_trigger_market_return,apc,peak_trigger_apc,apc_threshold,event_severity,eligible_count,adaptive_portfolio_size,adaptive_trade_horizon_days,mean_episode_risk_budget,mean_return_pct,median_return_pct,trimmed_mean_return_pct,p05_return_pct,p95_return_pct,std_return_pct,mean_deployed_return_pct,median_deployed_return_pct,mean_return_on_budget_pct,win_rate,deployment_rate,mean_invested,mean_raw_gross_pnl,mean_net_pnl,mean_capped_pnl_reduction,mean_lot_return_caps,total_lot_return_caps,mean_transaction_cost,mean_hold_days,local_normalization_exits,adaptive_horizon_exits,episode_end_exits,n_simulations,headline_return_pct,raw_mean_return_pct,event_sharpe
2002-12-27,2003-01-09,8,apc_and_market_normalized,1,-0.006524037183834685,-0.006524037183834685,0.121755205187099,0.121755205187099,0.12037303468810838,0.9053389326168717,2060,71,57.0,99.77906421579789,0.7732681505964615,0.7649732786852901,0.7646825506291435,0.058422997861387424,1.5154524458261671,0.4425613466706123,2.052564782229524,1.933584090544244,0.7732681505964615,0.964,1.0,39.92981442533821,1.1270531750583401,0.771559724543956,0.27563382166370776,1.552,776,0.0798596288506764,3.2911653205799145,5587,0,6897,500,0.7646825506291435,0.7732681505964615,1.74725641182574
2003-03-04,2003-03-20,12,apc_and_market_normalized,2,-0.009787552037348445,-0.013100718739456832,0.11194558586950853,0.11194558586950853,0.11092093658501424,0.9472127520891102,2057,71,34.0,145.3134210167035,2.149912941761224,2.191698320588535,2.15654010668942,0.9551679551568133,3.148547538225415,0.6876733305314977,3.86997727457182,3.9332934794475904,2.149912941761224,0.998,1.0,82.51515030475198,3.5541671242564292,3.1241120445540838,0.2650247790928418,1.218,609,0.16503030060950397,6.486887092112013,19940,0,4640,500,2.15654010668942,2.149912941761224,3.1263578887079597
2004-07-01,2004-07-20,12,apc_and_market_normalized,1,-0.009391214360743309,-0.009391214360743309,0.13075566860346202,0.13075566860346202,0.1288589567111232,0.9238665846923854,2380,77,48.0,109.63772702131368,-0.2991718822530287,-0.23504659458686342,-0.2534587671462104,-1.5129836356829909,0.6155486129655412,0.6233732202381972,-0.34034273434066437,-0.28128712563888825,-0.2991718822530287,0.338,1.0,94.19720301577055,-0.11998460540994423,-0.33605512293541207,0.027676111493926736,0.572,286,0.18839440603154112,4.643624293392473,25572,0,8420,500,-0.2534587671462104,-0.2991718822530287,-0.47992418111691115
2006-07-20,2006-07-26,4,apc_and_market_normalized,1,-0.012329587682466829,-0.012329587682466829,0.2056397473708979,0.2056397473708979,0.19344453007591056,0.9501887613393488,2601,83,48.0,120.36566719116594,0.3040191664332265,0.31309225935416424,0.3118740196765613,-0.09941820471346935,0.7267605831220346,0.2611918549381263,1.6449738870207344,1.6416996569119782,0.3040191664332265,0.912,1.0,23.668717363371016,0.4259127205490728,0.3659346980663743,0.012640587755956431,0.13,65,0.04733743472674203,2.4751768688826914,7083,0,0,500,0.3118740196765613,0.3040191664332265,1.1639687864893244
2006-10-02,2006-12-06,46,apc_and_market_normalized,4,-0.0065913190811937574,-0.010602184083703305,0.12585185413938269,0.1449614464946575,0.11120657301634616,0.9527726425298599,2684,79,22.0,239.97162649788683,3.4546425021772995,3.458273346390564,3.4526143438328933,2.2780129872273926,4.6656541010551935,0.7495845641096351,3.6026552688213247,3.582919029450734,3.4546425021772995,1.0,1.0,239.4465380109157,9.51664571452224,8.570674901720023,0.46707773678038433,1.952,976,0.47889307602183145,20.580388716772124,22002,44077,2426,500,3.4526143438328933,3.4546425021772995,4.6087428524902485
2007-06-06,2007-06-18,8,apc_and_market_normalized,1,-0.0067366602494326674,-0.0067366602494326674,0.14301108575460286,0.14301108575460286,0.13252097183097117,0.9277448704474011,2699,86,54.0,122.78605885847648,0.8351355911135915,0.8405014020519395,0.8214529720845585,0.12138051802847817,1.6614127438924666,0.46900764654156457,0.8424648739813411,0.847642667905474,0.8351355911135915,0.976,1.0,164.91974314846664,1.67192437483873,1.299018608676781,0.04306627986501565,0.326,163,0.32983948629693327,4.314080466121895,32029,0,745,500,0.8214529720845585,0.8351355911135915,1.7806438706742487
2007-10-15,2007-10-24,7,apc_and_market_normalized,1,-0.007884968322616145,-0.007884968322616145,0.1485827634298238,0.1485827634298238,0.1424566734233707,0.9278835203226294,2821,86,40.5,122.79798274774613,0.23350488414497572,0.2527321927925912,0.24067561989469854,-0.7511080242996979,1.1030416822107394,0.5752939543303025,0.2879462493031045,0.3094456324163508,0.23350488414497572,0.662,1.0,106.66238386345807,0.5278252315210082,0.2868783152048849,0.02762214858920728,0.562,281,0.21332476772691614,3.499212545639974,30563,0,1444,500,0.24067561989469854,0.23350488414497572,0.4058879506508944
2008-01-15,2008-01-24,6,apc_and_market_normalized,1,-0.01635431074641943,-0.01635431074641943,0.1604537286045407,0.1604537286045407,0.16021968202623948,0.9590701931375151,2836,89,46.0,129.85724718923882,1.2875984925657187,1.32760675872447,1.2896569887221483,-0.33500232635802196,2.6281641205392323,0.9511471585332061,1.304619242924589,1.349878142869384,1.2875984925657187,0.91,1.0,153.73457796422247,2.3667276118870753,1.9241530204317907,0.13510543552683987,0.806,403,0.3074691559284449,3.2467171092872644,36294,0,2854,500,1.2896569887221483,1.2875984925657187,1.3537321549184511
2008-05-07,2011-02-08,695,apc_and_market_normalized,153,-0.010447261166487715,-0.07753812246879518,0.1417933055530685,0.2948097628109243,0.12111520311299254,0.9868913179739636,2938,88,24.0,3789.094708636984,0.12028780737216258,0.05791960580060578,0.07146677630462632,-0.9089340802417605,1.592929008043699,0.9756117828637512,0.2395321619244752,0.10671118665630916,0.12028780737216258,0.526,1.0,2074.2652234763536,144.87875315899046,4.55781894427406,136.17240376776368,22.55,11275,4.148530446952706,25.175802133450837,211537,363421,32,500,0.07146677630462632,0.12028780737216258,0.12329474641960259
2011-08-04,2012-10-18,305,apc_and_market_normalized,53,-0.04021264103850699,-0.06958253231313424,0.1924608672074432,0.3502985003931537,0.17790819805483546,0.9873696738428278,3433,103,29.5,1583.9226543651675,2.1364692968729453,2.3118376380663817,2.2982405586865404,-0.5148217660529804,3.769822060033389,1.3517556368095556,4.504075743042996,4.829240603309983,2.1364692968729453,0.946,1.0,769.1255201055166,65.88876849854672,33.84002119672679,30.510496261608896,6.84,3420,1.538251040211033,41.10195513936949,37311,202292,939,500,2.2982405586865404,2.1364692968729453,1.5805144352240237
2015-12-07,2015-12-18,9,apc_and_market_normalized,1,-0.01427800952738391,-0.01427800952738391,0.15699061474867418,0.15699061474867418,0.13675689362737647,0.9307718491053966,4331,105,52.5,150.23104415606664,0.7554938239621423,0.7144276508607716,0.7239117435109529,-0.10692356323981,1.7520658213317613,0.6029698474357421,0.7557722964242036,0.7156650140794152,0.7554938239621423,0.924,1.0,201.2952133941654,157.05180273095232,1.5135095547605695,155.13570274940344,1.208,604,0.4025904267883308,3.739602546678618,44799,0,6017,500,0.7239117435109529,0.7554938239621423,1.2529545667582564
2016-05-03,2016-07-07,45,apc_and_market_normalized,6,-0.009827146021874265,-0.010354691169769243,0.12292120413570948,0.1402300640908012,0.11347832049886925,0.9173094042747097,4492,106,22.0,367.99859390083003,2.173387884771728,2.2100310859259826,2.220776063912209,1.0121354135596208,3.4644387417960743,0.9387111948266492,2.188247981537808,2.21616451440824,2.173387884771728,0.978,1.0,402.724634067542,11.777845611058119,8.690956443807336,2.2814398991156986,2.814,1407,0.805449268135084,11.238001055242888,115693,3979,0,500,2.220776063912209,2.173387884771728,2.315289193044177
2016-08-24,2016-09-02,7,apc_and_market_normalized,1,-0.0057762289391551855,-0.0057762289391551855,0.11278541302156872,0.11278541302156872,0.11171539911222059,0.8561688063877374,4390,102,20.0,138.3292182515492,0.27414681013996023,0.272724387890929,0.26865164271556385,-0.047719797798343115,0.609573969041297,0.2086196170574121,0.8535847725313265,0.8180005890116346,0.27414681013996023,0.926,1.0,46.81260405423271,1.0445173344984002,0.37922513932816576,0.5716669870617691,0.832,416,0.09362520810846542,3.5072542921917296,0,0,15447,500,0.26865164271556385,0.27414681013996023,1.3140989040571147
2016-10-11,2016-11-11,23,apc_and_market_normalized,4,-0.010700594231535278,-0.010700594231535278,0.13720916593511867,0.13720916593511867,0.1271243139394482,0.9289129855978892,4405,109,26.0,311.50303086033983,1.1899073787733292,1.1383004994495711,1.1803603326468024,-0.1885045283559281,2.6711835048659,0.860946430194227,1.1999640414272152,1.1515436887982116,1.1899073787733292,0.916,1.0,368.1600108345351,5.437971823191289,4.251112903390944,0.4505388981312732,3.142,1571,0.7363200216690703,9.993507894029696,82087,0,19885,500,1.1803603326468024,1.1899073787733292,1.3820922383113774
2019-03-22,2019-05-21,41,apc_and_market_normalized,2,-0.016387497183100497,-0.018604335129519336,0.11629053421107287,0.11629053421107287,0.10935048383116401,0.9449422617879465,5298,120,22.0,323.14163309075894,0.37177228294489895,0.40437829416842175,0.3917411298998899,-0.6993682222638208,1.3069687910823116,0.6297451422077684,0.37230724846416485,0.40437829416842175,0.37177228294489895,0.748,1.0,376.4887028246128,5.019418603389653,1.343769536091987,2.92267166164844,3.254,1627,0.7529774056492256,8.94591066106643,90513,0,30783,500,0.3917411298998899,0.37177228294489895,0.590353554203745
2020-03-09,2021-01-08,212,apc_and_market_normalized,43,-0.08149501355444368,-0.1071370562629328,0.22899325498398201,0.4055933221065708,0.207705339914058,0.9961904994750547,5530,135,21.0,2039.0939092845742,9.17544404946745,8.146217770529146,8.305053631960929,5.564572326630058,18.426593970368966,4.82324562980228,17.37328578724778,16.00145159797234,9.17544404946745,0.998,1.0,1083.7858537759482,24424.828168164786,187.09592076250465,24235.564675694728,6.504,3252,2.1675717075518963,40.69530241578839,1331,253493,375,500,8.305053631960929,9.17544404946745,1.9023381253431169
2021-07-07,2021-08-30,38,apc_and_market_normalized,2,-0.009217833217190129,-0.009217833217190129,0.1118877926243309,0.11421646295798148,0.10851471784732962,0.9026269809218855,6669,125,32.0,247.9517624212699,1.3948777926452665,1.5350288288409377,1.5091329871853847,-0.5890484962780994,2.7801211898215676,1.1195141086028066,1.3948777926452665,1.5350288288409377,1.3948777926452665,0.936,1.0,478.06297110659506,56.70289819375472,6.533796827968495,49.21297542357304,3.272,1636,0.9561259422131902,16.839497496410996,70815,55643,2447,500,1.5091329871853847,1.3948777926452665,1.2459671405000188
2022-08-09,2022-11-18,72,apc_and_market_normalized,8,-0.01546501818095601,-0.02444240126234719,0.13365468339888573,0.18211246442423348,0.1207851662131779,0.958253513916179,7460,134,41.0,552.6915483312736,-2.60680032226832,-2.605010373945647,-2.61857044005077,-4.014266498319939,-0.5949931555589434,1.0415364445873159,-2.60680032226832,-2.605010373945647,-2.60680032226832,0.028,1.0,1350.8735365518103,211.33598044739435,-35.295384622567525,243.92961799685847,6.046,3023,2.7017470731036206,14.257650488814436,313313,19020,1208,500,-2.61857044005077,-2.60680032226832,-2.5028411975552163
2023-02-06,2023-03-03,18,apc_and_market_normalized,2,-0.007870218600548666,-0.008011893023974544,0.13951711282402612,0.13951711282402612,0.12118807856759232,0.8994159408308094,7496,137,36.0,271.1330014005929,-0.05097436901590252,-0.014677955153518805,-0.020708518981409477,-1.3291731030373277,1.293866393451235,0.9343170170048377,-0.04694057549082557,-0.015379404493718522,-0.05097436901590252,0.494,1.0,289.26306349124394,7.1697641828786285,-0.1875142284053759,6.778752284301516,2.29,1145,0.5785261269824878,9.044354173994714,48894,0,36500,500,-0.020708518981409477,-0.05097436901590252,-0.05455789425661139
