date,market_return,coverage,frac_down,fast_market_vol,slow_market_vol,vol_ratio,vol_percentile,apc_window,apc,apc_n_names,apc_threshold_quantile,market_tail_quantile,breadth_quantile,coverage_quantile,apc_threshold,market_return_threshold,frac_down_threshold,coverage_floor,apc_excess,apc_excess_percentile,market_stress_percentile,breadth_percentile,event_severity,drop_z_threshold,adaptive_trade_horizon_days,adaptive_daily_lot_log_return_cap
2013-09-06,0.003577183752108431,4530.0,0.3456953642384106,0.005377524375342619,0.005625256691416229,0.9559607090549959,0.5668597914252608,74.0,0.1000435276062271,123.0,0.7484009269988413,0.1149710312862109,0.6917149478563153,0.2649710312862109,0.15040324432363306,-0.007521284736410855,0.4393653416263716,181.0,-0.05035971671740595,0.878046856511793,0.556349938499385,0.4343480934809348,,1.2239794976836689,47,0.14485714385658804
2013-09-09,0.00873232900188198,4530.0,0.18079470198675496,0.005290907905302196,0.005596649387510835,0.9453706206983568,0.5421751892476441,77.0,0.08933259160758078,121.0,0.7397613162366754,0.1186737216128534,0.6855437973119111,0.2686737216128534,0.1480621960950679,-0.007337585427550122,0.43578755976408184,183.0,-0.058729604487487125,0.8780564757848242,0.5563840418172035,0.05157967560919364,,1.217669173294763,44,0.14254476825223356
2013-09-10,0.003506876289058525,4531.0,0.26925623482674904,0.005509285002902759,0.005652458469459999,0.9746705849621363,0.6120336757550011,70.0,0.10442010570666428,123.0,0.7642117865142504,0.10819494863674985,0.7030084189387503,0.25819494863674985,0.1540808620774643,-0.007842154871345179,0.4459466276707694,180.0,-0.049660756370800016,0.8780660935405,0.5564181398923904,0.20930053804765564,,1.2352392481352696,51,0.14977467520272378
2013-09-11,0.00381001155518523,4532.0,0.3731244483671668,0.005393855694798383,0.0056212481362655125,0.9595476954664026,0.576382452888477,74.0,0.09045203042355489,121.0,0.751733858510967,0.11354263206672846,0.6940956132221193,0.26354263206672845,0.1511007253996685,-0.007602562006055646,0.4405142230713547,181.0,-0.060648694976113623,0.8780757097791798,0.5564522327261547,0.5242487126277765,,1.2258126347952356,48,0.14591444733811407
2013-09-12,-0.004570293179304703,4532.0,0.5189761694616064,0.005286855909380167,0.005592659116938169,0.9453206066803118,0.541817900996216,77.0,0.09072220457907229,120.0,0.7396362653486757,0.11872731485056762,0.685454475249054,0.2687273148505676,0.1480059313928057,-0.007336982579775874,0.43572269491604165,183.0,-0.05728372681373342,0.8780853245012223,0.807869658776514,0.8291577005840762,0.8383708946206042,1.2174775474597739,44,0.14254785463085806
2013-09-13,0.0023264863328856292,4531.0,0.2906643125137939,0.00529926356762987,0.005584484024857185,0.9489262649946235,0.5503474903474903,76.0,0.09007295086236111,121.0,0.7426216216216217,0.11744787644787646,0.6875868725868726,0.2674478764478765,0.14880730759155433,-0.007393725607175,0.4369951534733441,183.0,-0.05873435672919322,0.8780949377069863,0.5564435564435565,0.2670406516560363,,1.2197515111349457,45,0.14367589794645427
2013-09-16,0.0011360862951203354,4533.0,0.2867857930730201,0.005163752997848935,0.005545474742665107,0.9311651819673207,0.5052119527449618,80.0,0.09804554363282493,123.0,0.7268241834607366,0.12421820708825575,0.6763029881862405,0.2742182070882557,0.14457280728170574,-0.007080952427906085,0.43333333333333335,184.0,-0.04652726364888081,0.8781045493968304,0.5564776394651914,0.25026894114031045,,1.2102215778007277,41,0.13871081030402524
2013-09-17,0.004974661854468367,4535.0,0.2619625137816979,0.0050188968368500946,0.0055023099347106435,0.9121436081215641,0.45784434836318716,84.0,0.097624422798402,121.0,0.7102455219271155,0.13132334774552196,0.6644610870907969,0.2813233477455219,0.1402204950117268,-0.006719753605422023,0.4269658232474533,185.0,-0.04259607221332479,0.8781141595711132,0.5565117172493277,0.19162504802151364,,1.1996659837413228,39,0.1350062908755832
2013-09-18,0.00641414935851151,4536.0,0.19047619047619047,0.004972476245658973,0.005487927665367834,0.9060753983763902,0.44074731722380917,86.0,0.1048837358188568,122.0,0.7042615610283333,0.13388790241642864,0.6601868293059523,0.28388790241642864,0.13873325790326124,-0.006628490375482192,0.4241190557167583,186.0,-0.03384952208440445,0.8781237682301931,0.5565457897971727,0.06130915795943454,,1.1965287245192082,38,0.1335311846286289
2013-09-19,-0.0010092389013599185,4536.0,0.43937389770723106,0.0049909484125543,0.005494010329782915,0.9084344791815321,0.44673459935155163,85.0,0.08486817046841788,122.0,0.7063571097730431,0.13298981009726726,0.661683649837888,0.28298981009726726,0.13917966355461853,-0.006663236452114055,0.424828402300684,185.0,-0.054311493086200646,0.8781333753744285,0.6271798417454099,0.6918644849043558,0.7323925673413981,1.1973946818675205,39,0.13378723521643293
